                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4289,                 11.054,                  1.845,                 0.0007,                0.04762,                0.00034,                0.00021,                 2.6768,                    inf,                  1.744,                0.00058,                0.00058,                0.00058
                      2,                 2.0105,                 3.6763,                 1.5559,                 0.0007,                0.04762,                0.00034,                0.00021,                    nan,                    nan,                    nan,              0.0011411,              0.0011411,              0.0011411
                      3,                 1.8683,                 2.6153,                  1.436,                 0.0007,                0.04762,                0.00034,                0.00021,                    nan,                    nan,                    nan,              0.0016625,              0.0016625,              0.0016625
                      4,                 1.9628,                 2.2461,                 1.5824,                 0.0007,                0.04762,                0.00034,                0.00021,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      5,                 1.9879,                 2.3025,                 1.5775,                 0.0007,                0.04762,                0.00034,                0.00021,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      6,                 1.9585,                 2.4191,                 1.5122,                 0.0007,                0.04762,                0.00034,                0.00021,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                      7,                 1.8943,                 1.7765,                 1.5049,                0.03506,                0.85714,                0.03078,                0.01363,                  2.275,                    inf,                 5.0956,                0.00167,                0.00167,                0.00167
                      8,                 1.7799,                 1.6095,                 1.4037,                0.95053,                0.11905,                0.14575,                0.05847,                 2.6033,                 3.6042,                 4.2142,               0.001604,               0.001604,               0.001604
                      9,                 1.7446,                  1.359,                 1.3797,                0.70836,                0.59524,                0.63913,                0.17521,                 2.5419,                   2.28,                 2.5867,               0.001538,               0.001538,               0.001538
                     10,                 1.7152,                 1.2446,                  1.359,                0.91355,                0.57143,                0.67916,                0.21401,                  2.212,                 2.7679,                  1.495,               0.001472,               0.001472,               0.001472
                     11,                 1.6275,                 1.2357,                 1.3032,                0.35444,                0.53607,                0.31478,                0.12639,                 1.9341,                  2.059,                 1.3713,               0.001406,               0.001406,               0.001406
                     12,                 1.5814,                 1.2349,                 1.2613,                0.81197,                0.82265,                0.83288,                0.24656,                 2.0303,                  1.807,                 1.4212,                0.00134,                0.00134,                0.00134
                     13,                 1.6062,                 1.2126,                 1.2891,                0.65535,                0.47619,                0.56722,                0.16865,                 2.4459,                 2.2934,                  1.539,               0.001274,               0.001274,               0.001274
                     14,                 1.5664,                 1.1524,                 1.2463,                0.91479,                 0.7381,                0.83695,                0.30821,                 2.1388,                 1.3412,                  1.443,               0.001208,               0.001208,               0.001208
                     15,                 1.5165,                 1.1752,                 1.2183,                0.91898,                0.81024,                0.89529,                0.30156,                 2.1035,                 1.2977,                 1.4009,               0.001142,               0.001142,               0.001142
                     16,                  1.462,                 1.0774,                 1.1896,                0.71388,                0.71429,                0.74513,                0.16456,                 2.3529,                    1.7,                 1.5789,               0.001076,               0.001076,               0.001076
                     17,                 1.5718,                 1.1317,                 1.2802,                0.92875,                0.88095,                 0.8855,                0.27944,                 2.0531,                 1.3391,                 1.3544,                0.00101,                0.00101,                0.00101
                     18,                 1.6599,                 1.1669,                  1.335,                0.56664,                0.52381,                 0.5118,                0.13636,                 2.2911,                 1.8911,                 1.4862,               0.000944,               0.000944,               0.000944
                     19,                 1.5454,                 1.1276,                 1.2205,                0.92849,                0.61834,                 0.6562,                0.28564,                 2.0556,                 1.6635,                 1.3375,               0.000878,               0.000878,               0.000878
                     20,                 1.5093,                 1.1032,                 1.2086,                0.89048,                0.77453,                 0.7982,                0.23744,                 2.0586,                 1.5166,                 1.3551,               0.000812,               0.000812,               0.000812
                     21,                 1.3787,                 1.0805,                 1.2545,                0.93665,                0.70419,                0.77155,                 0.2035,                 2.3014,                 1.6978,                   1.46,               0.000746,               0.000746,               0.000746
                     22,                 1.3844,                 1.0608,                 1.2216,                 0.8775,                0.68237,                0.76793,                0.21448,                 2.1865,                 1.3766,                 1.3955,                0.00068,                0.00068,                0.00068
                     23,                 1.3536,                0.99146,                 1.2055,                0.90814,                0.70632,                 0.7768,                0.20259,                 2.2114,                 1.5173,                 1.4067,               0.000614,               0.000614,               0.000614
                     24,                 1.4285,                0.98665,                  1.261,                0.96173,                0.71429,                0.79912,                0.23651,                 2.2007,                 1.4788,                 1.4007,               0.000548,               0.000548,               0.000548
                     25,                 1.3916,                0.98469,                 1.2354,                0.72235,                0.49568,                0.55148,                0.17051,                 2.3269,                 1.6373,                 1.4965,               0.000482,               0.000482,               0.000482
                     26,                 1.4193,                0.99239,                 1.2454,                 0.8241,                0.78094,                0.77891,                0.26454,                 2.0784,                 1.3575,                 1.3454,               0.000416,               0.000416,               0.000416
                     27,                 1.3261,                0.96435,                 1.1867,                0.86349,                0.75317,                0.79194,                0.27239,                 2.1021,                 1.3249,                 1.3588,                0.00035,                0.00035,                0.00035
                     28,                 1.2572,                0.94198,                 1.1792,                0.72943,                0.66667,                 0.6801,                0.22615,                 2.1294,                 1.5046,                 1.3941,               0.000284,               0.000284,               0.000284
                     29,                 1.3448,                0.93051,                 1.2466,                0.77898,                0.83333,                0.75043,                0.25419,                 2.0499,                 1.3582,                  1.356,               0.000218,               0.000218,               0.000218
                     30,                 1.3254,                0.91768,                 1.1857,                0.90867,                0.88095,                0.87691,                0.30341,                 1.9982,                 1.2881,                 1.3151,               0.000152,               0.000152,               0.000152
